Season,Rk,Club,GF/MP,GA/MP,Pts/MP
2018-2019,12,Crystal Palace,1.342105263,1.394736842,1.29
2018-2019,13,Newcastle,1.105263158,1.263157895,1.18
2018-2019,14,Bournemouth,1.473684211,1.842105263,1.18
2018-2019,15,Burnley,1.184210526,1.789473684,1.05
2018-2019,16,Southampton,1.184210526,1.710526316,1.03
2018-2019,17,Brighton,0.921052632,1.578947368,0.95
2018-2019,18,Cardiff,0.894736842,1.815789474,0.89
2018-2019,19,Fulham,0.894736842,2.131578947,0.68
2018-2019,20,Huddersfield,0.578947368,2,0.42
2017-2018,1,Man City,2.789473684,0.710526316,2.63
2017-2018,2,Man United,1.789473684,0.736842105,2.13
2017-2018,3,Tottenham,1.947368421,0.947368421,2.03
2017-2018,4,Liverpool,2.210526316,1,1.97
2017-2018,5,Chelsea,1.631578947,1,1.84
2017-2018,6,Arsenal,1.947368421,1.342105263,1.66
2017-2018,7,Burnley,0.947368421,1.026315789,1.42
2017-2018,8,Everton,1.157894737,1.526315789,1.29
2017-2018,9,Leicester,1.473684211,1.578947368,1.24
2017-2018,10,Newcastle,1.026315789,1.236842105,1.16
2017-2018,11,Crystal Palace,1.184210526,1.447368421,1.16
2017-2018,12,Bournemouth,1.184210526,1.605263158,1.16
2017-2018,13,West Ham,1.263157895,1.789473684,1.11
2017-2018,14,Watford,1.157894737,1.684210526,1.08
2017-2018,15,Brighton,0.894736842,1.421052632,1.05
2017-2018,16,Huddersfield,0.736842105,1.526315789,0.97
2017-2018,17,Southampton,0.973684211,1.473684211,0.95
2017-2018,18,Swansea,0.736842105,1.473684211,0.87
2017-2018,19,Stoke,0.921052632,1.789473684,0.87
2017-2018,20,West Brom,0.815789474,1.473684211,0.82
2016-2017,1,Chelsea,2.236842105,0.868421053,2.45
2016-2017,2,Tottenham,2.263157895,0.684210526,2.26
2016-2017,3,Man City,2.105263158,1.026315789,2.05
2016-2017,4,Liverpool,2.052631579,1.105263158,2
2016-2017,5,Arsenal,2.026315789,1.157894737,1.97
2016-2017,6,Man United,1.421052632,0.763157895,1.82
2016-2017,7,Everton,1.631578947,1.157894737,1.61
